Key,English,Vietnamese,Japanese,Korean,Chinese,Spanish,Portuguese,Italian,German,French,Russian
STRING_MAKE_COFFEE_TAKE_ORDER,Take Order,Nhận yêu câu,注文を取る,주문 받기,接受订单,Tomar pedido,Aceitar pedido,Prendere ordine,Bestellung aufnehmen,Prendre la commande,Принять заказ
STRING_MAKE_COFFEE_CHOSE_CUP_SIZE,Chose cup size,Chọn kích thước cốc,カップサイズを選ぶ,컵 사이즈 선택,选择杯子大小,Elegir el tamaño de la taza,Escolher o tamanho da xícara,Scegli la dimensione della tazza,Tassenformat auswählen,Choisir la taille de la tasse,Выберите размер чашки
STRING_MAKE_COFFEE_SEE_HANDBOOK,See handbook,Xem sổ tay,ハンドブックを見る,핸드북 보기,查看手册,Ver el manual,Ver manual,Consulta il manuale,Handbuch ansehen,Consulter le manuel,Посмотреть руководство
STRING_MAKE_COFFEE_TAKE_ICE,Take ice cubes from ice making machine,Lấy đá viên từ máy làm đá,製氷機から氷を取り出す,제빙기에서 얼음 꺼내기,从制冰机取出冰块,Sacar los cubos de hielo de la máquina de hielo,Retirar cubos de gelo da máquina de fazer gelo,Prendi i cubetti di ghiaccio dalla macchina del ghiaccio,Eiswürfel aus der Eismaschine nehmen,Prendre des glaçons de la machine à glaçons,Возьмите кубики льда из машины для льда
STRING_MAKE_COFFEE_TAKE_ESPRESSO,Take espresso from coffee machine,Lấy cà phê từ máy pha cà phê,コーヒーマシンからエスプレッソを取り出す,커피 머신에서 에스프레소 꺼내기,从咖啡机取出浓缩咖啡,Sacar el espresso de la máquina de café,Retirar o espresso da máquina de café,Prendi l'espresso dalla macchina da caffè,Espresso aus der Kaffeemaschine nehmen,Prendre l'espresso de la machine à café,Возьмите эспрессо из кофемашины
STRING_MAKE_COFFEE_MOCHA,Mocha,Mocha,モカ,모카,摩卡,Mocha,Mocha,Mocha,Mocha,Mocha,Макиато
STRING_MAKE_COFFEE_MACCHIATO,Macchiato,Macchiato,マキアート,마키아토,玛奇朵,Macchiato,Macchiato,Macchiato,Macchiato,Macchiato,Макиато
STRING_MAKE_COFFEE_LESS_ICE,Less ice,Ít đá,少なめの氷,적은 얼음,少冰,Menos hielo,Menos gelo,Meno ghiaccio,Weniger Eis,Moins de glace,Меньше льда
STRING_MAKE_COFFEE_NORMAL_ICE,Normal ice,Vừa đá,通常の氷,보통 얼음,普通冰,Hielo normal,Gelo normal,Ghiaccio normale,Normales Eis,Glace normale,Обычный лед
STRING_MAKE_COFFEE_MORE_ICE,More ice,Nhiều đá,多めの氷,많은 얼음,多冰,Más hielo,Mais gelo,Più ghiaccio,Mehr Eis,Plus de glace,Больше льда
STRING_MAKE_COFFEE_SUGAR_FREE,Sugar free,Không đường,無糖,설탕 없음,无糖,Sin azúcar,Sem açúcar,Senza zucchero,Zuckerfrei,Sans sucre,Без сахара
STRING_MAKE_COFFEE_LESS_SUGAR,Less sugar,Ít đường,少なめの砂糖,적은 설탕,少糖,Menos azúcar,Menos açúcar,Meno zucchero,Weniger Zucker,Moins de sucre,Меньше сахара
STRING_MAKE_COFFEE_NORMAL_SUGAR,Normal sugar,Vừa đường,通常の砂糖,보통 설탕,普通糖,Azúcar normal,Açúcar normal,Zucchero normale,Normaler Zucker,Sucre normal,Обычный сахар
STRING_MAKE_COFFEE_SMALL_CUP,Small cup,Ly nhỏ,小さなカップ,작은 컵,小杯,Taza pequeña,Xícara pequena,Tazza piccola,Kleine Tasse,Petite tasse,Маленькая чашка
STRING_MAKE_COFFEE_NORMAL_CUP,Normal cup,Ly bình thường,普通のカップ,보통 컵,普通杯,Taza normal,Xícara normal,Tazza normale,Normale Tasse,Tasse normale,Обычная чашка
STRING_MAKE_COFFEE_LARGE_CUP,Large cup,Ly lớn,大きなカップ,큰 컵,大杯,Taza grande,Xícara grande,Tazza grande,Große Tasse,Grande tasse,Большая чашка
STRING_MAKE_COFFEE_SYRUP,Syrup,Siro,シロップ,시럽,糖浆,Jarabe,Xarope,Sciroppo,Sirup,Sirop,Сироп
STRING_MAKE_COFFEE_MILK,Milk,Sữa,牛乳,우유,牛奶,Leche,Leite,Latte,Milch,Lait,Молоко
STRING_MAKE_COFFEE_ICE,Ice,Đá,氷,얼음,冰,Hielo,Gelo,Ghiaccio,Eis,Glace,Лед
STRING_MAKE_COFFEE_ESPRESSO,Espresso,Cà phê,エスプレッソ,에스프레소,浓缩咖啡,Espresso,Espresso,Espresso,Espresso,Espresso,Эспрессо
STRING_MAKE_COFFEE_CREAM,Cream,Kem,生クリーム,크림,奶油,Crema,Creme,Crema,Sahne,Crème,Сливки
STRING_MAKE_COFFEE_SUGAR_FREE_DETAIl,No syrup,Không siro,シロップなし,시럽 없음,不加糖浆,Sin jarabe,Sem xarope,Senza sciroppo,Kein Sirup,Pas de sirop,Без сиропа
